valueCategory,temporal,temporal_type,georegion,georegion_type,agegroup,agegroup_type,sex,value,popExtrapolation,totalConsultationsExtrapolation,pop,incValue,prctConsultations,valueYearCumSum,valueMean3y,trend,deltaValue,deltaIncValue,incValuePrctChange,valueMean5y,dataComplete
min_value_10y,2026-M05,month,CH,country,all,agegroup_tick,all,402,NA,NA,NA,NA,NA,1092.9,NA,NA,NA,NA,NA,NA,TRUE
median_value_10y,2026-M05,month,CH,country,all,agegroup_tick,all,1058.8,NA,NA,NA,NA,NA,1764.3,NA,NA,NA,NA,NA,NA,TRUE
max_value_10y,2026-M05,month,CH,country,all,agegroup_tick,all,2536,NA,NA,NA,NA,NA,3720.3,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2026-M06,month,CH,country,all,agegroup_tick,all,1475.1,NA,NA,NA,NA,NA,2681,NA,NA,NA,NA,NA,NA,TRUE
median_value_10y,2026-M06,month,CH,country,all,agegroup_tick,all,2128,NA,NA,NA,NA,NA,3874.1,NA,NA,NA,NA,NA,NA,TRUE
max_value_10y,2026-M06,month,CH,country,all,agegroup_tick,all,4227,NA,NA,NA,NA,NA,7947.3,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2026-M07,month,CH,country,all,agegroup_tick,all,1624.7,NA,NA,NA,NA,NA,4821.8,NA,NA,NA,NA,NA,NA,TRUE
median_value_10y,2026-M07,month,CH,country,all,agegroup_tick,all,2324.6,NA,NA,NA,NA,NA,5837.7,NA,NA,NA,NA,NA,NA,TRUE
max_value_10y,2026-M07,month,CH,country,all,agegroup_tick,all,3627.7,NA,NA,NA,NA,NA,10934.5,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2026-M08,month,CH,country,all,agegroup_tick,all,993.5,NA,NA,NA,NA,NA,6158.1,NA,NA,NA,NA,NA,NA,TRUE
median_value_10y,2026-M08,month,CH,country,all,agegroup_tick,all,1564,NA,NA,NA,NA,NA,7298.4,NA,NA,NA,NA,NA,NA,TRUE
max_value_10y,2026-M08,month,CH,country,all,agegroup_tick,all,3043.6,NA,NA,NA,NA,NA,13978.1,NA,NA,NA,NA,NA,NA,TRUE
consultations,2013,year,CH,country,all,agegroup_tick,all,13379.1,165475.9,645975,8139631,164.37,0.042,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2014,year,CH,country,all,agegroup_tick,all,7189,171875.8,650696,8237666,87.27,0.023,NA,NA,NA,-6190.1,-77.1,-46.9,NA,TRUE
consultations,2015,year,CH,country,all,agegroup_tick,all,5753.5,163499.3,617045,8325194,69.11,0.018,NA,8773.9,falling,-1435.5,-18.16,-20.8,NA,TRUE
consultations,2016,year,CH,country,all,agegroup_tick,all,10486.5,161379.7,603303,8419550,124.55,0.033,NA,7809.7,rising,4733,55.44,80.2,NA,TRUE
consultations,2017,year,CH,country,all,agegroup_tick,all,8955.8,162932.8,576232,8484130,105.56,0.03,NA,8398.6,rising,-1530.7,-18.99,-15.2,9152.78,TRUE
consultations,2018,year,CH,country,all,agegroup_tick,all,17189.9,151604.3,567510,8544527,201.18,0.054,NA,12210.7,rising,8234.1,95.62,90.6,9914.94,TRUE
consultations,2019,year,CH,country,all,agegroup_tick,all,10155.1,158480.7,585079,8606033,118,0.032,NA,12100.3,rising,-7034.8,-83.18,-41.3,10508.16,TRUE
consultations,2020,year,CH,country,all,agegroup_tick,all,14359.8,172081.2,566796,8670300,165.62,0.05,NA,13901.6,falling,4204.7,47.62,40.4,12229.42,TRUE
consultations,2021,year,CH,country,all,agegroup_tick,all,8401.5,195550.4,605347,8738791,96.14,0.031,NA,10972.1,falling,-5958.3,-69.48,-42,11812.42,TRUE
consultations,2022,year,CH,country,all,agegroup_tick,all,8621.4,195294.5,574685,8815385,97.8,0.033,NA,10460.9,falling,219.9,1.66,1.7,11745.54,TRUE
consultations,2023,year,CH,country,all,agegroup_tick,all,8353.7,187749.1,542532,8962258,93.21,0.032,NA,8458.9,falling,-267.7,-4.59,-4.7,9978.3,TRUE
consultations,2024,year,CH,country,all,agegroup_tick,all,11101.1,183444.2,533748,9051029,122.65,0.042,NA,9358.7,rising,2747.4,29.44,31.6,10167.5,TRUE
consultations,2025,year,CH,country,all,agegroup_tick,all,13157.5,193303.8,559769,9051029,145.37,0.05,NA,10870.8,rising,2056.4,22.72,18.5,9927.04,TRUE
cases,2013-M01,month,CH,country,all,agegroup_tick,all,295.5,165475.9,645975,8139631,3.63,0.001,295.5,NA,NA,NA,NA,NA,NA,TRUE
cases,2013-M02,month,CH,country,all,agegroup_tick,all,0,165475.9,645975,8139631,0,0,295.5,NA,NA,NA,NA,NA,NA,TRUE
cases,2013-M03,month,CH,country,all,agegroup_tick,all,98.5,165475.9,645975,8139631,1.21,0,394,NA,NA,NA,NA,NA,NA,TRUE
cases,2013-M04,month,CH,country,all,agegroup_tick,all,344.3,165475.9,645975,8139631,4.23,0.001,738.3,NA,rising,NA,NA,NA,NA,TRUE
cases,2013-M05,month,CH,country,all,agegroup_tick,all,1426.9,165475.9,645975,8139631,17.53,0.004,2165.2,NA,rising,NA,NA,NA,NA,TRUE
cases,2013-M06,month,CH,country,all,agegroup_tick,all,2459.8,165475.9,645975,8139631,30.22,0.008,4625,NA,rising,NA,NA,NA,NA,TRUE
cases,2013-M07,month,CH,country,all,agegroup_tick,all,2065.8,165475.9,645975,8139631,25.38,0.007,6690.8,NA,rising,NA,NA,NA,NA,TRUE
cases,2013-M08,month,CH,country,all,agegroup_tick,all,2459.8,165475.9,645975,8139631,30.22,0.008,9150.6,NA,stagnant,NA,NA,NA,NA,TRUE
cases,2013-M09,month,CH,country,all,agegroup_tick,all,1574.2,165475.9,645975,8139631,19.34,0.005,10724.8,NA,stagnant,NA,NA,NA,NA,TRUE
cases,2013-M10,month,CH,country,all,agegroup_tick,all,1032.9,165475.9,645975,8139631,12.69,0.003,11757.7,NA,falling,NA,NA,NA,NA,TRUE
cases,2013-M11,month,CH,country,all,agegroup_tick,all,1032.9,165475.9,645975,8139631,12.69,0.003,12790.6,NA,falling,NA,NA,NA,NA,TRUE
cases,2013-M12,month,CH,country,all,agegroup_tick,all,590.1,165475.9,645975,8139631,7.25,0.002,13380.7,NA,falling,NA,NA,NA,NA,TRUE
cases,2014-M01,month,CH,country,all,agegroup_tick,all,287.5,171875.8,650696,8237666,3.49,0.001,287.5,NA,falling,NA,NA,NA,NA,TRUE
cases,2014-M02,month,CH,country,all,agegroup_tick,all,144.2,171875.8,650696,8237666,1.75,0,431.7,NA,falling,NA,NA,NA,NA,TRUE
cases,2014-M03,month,CH,country,all,agegroup_tick,all,47.8,171875.8,650696,8237666,0.58,0,479.5,NA,falling,NA,NA,NA,NA,TRUE
cases,2014-M04,month,CH,country,all,agegroup_tick,all,335.3,171875.8,650696,8237666,4.07,0.001,814.8,NA,stagnant,NA,NA,NA,NA,TRUE
cases,2014-M05,month,CH,country,all,agegroup_tick,all,814.7,171875.8,650696,8237666,9.89,0.003,1629.5,NA,rising,NA,NA,NA,NA,TRUE
cases,2014-M06,month,CH,country,all,agegroup_tick,all,1102.2,171875.8,650696,8237666,13.38,0.004,2731.7,NA,rising,NA,NA,NA,NA,TRUE
cases,2014-M07,month,CH,country,all,agegroup_tick,all,1773.6,171875.8,650696,8237666,21.53,0.006,4505.3,NA,rising,NA,NA,NA,NA,TRUE
cases,2014-M08,month,CH,country,all,agegroup_tick,all,719.1,171875.8,650696,8237666,8.73,0.002,5224.4,NA,stagnant,NA,NA,NA,NA,TRUE
cases,2014-M09,month,CH,country,all,agegroup_tick,all,958.9,171875.8,650696,8237666,11.64,0.003,6183.3,NA,stagnant,NA,NA,NA,NA,TRUE
cases,2014-M10,month,CH,country,all,agegroup_tick,all,671.4,171875.8,650696,8237666,8.15,0.002,6854.7,NA,falling,NA,NA,NA,NA,TRUE
cases,2014-M11,month,CH,country,all,agegroup_tick,all,239.7,171875.8,650696,8237666,2.91,0.001,7094.4,NA,falling,NA,NA,NA,NA,TRUE
cases,2014-M12,month,CH,country,all,agegroup_tick,all,95.6,171875.8,650696,8237666,1.16,0,7190,NA,falling,NA,NA,NA,NA,TRUE
cases,2015-M01,month,CH,country,all,agegroup_tick,all,152.4,163499.3,617045,8325194,1.83,0,152.4,NA,falling,NA,NA,NA,NA,TRUE
cases,2015-M02,month,CH,country,all,agegroup_tick,all,0,163499.3,617045,8325194,0,0,152.4,NA,falling,NA,NA,NA,NA,TRUE
cases,2015-M03,month,CH,country,all,agegroup_tick,all,0,163499.3,617045,8325194,0,0,152.4,NA,falling,NA,NA,NA,NA,TRUE
cases,2015-M04,month,CH,country,all,agegroup_tick,all,152.4,163499.3,617045,8325194,1.83,0,304.8,NA,stagnant,NA,NA,NA,NA,TRUE
cases,2015-M05,month,CH,country,all,agegroup_tick,all,560.3,163499.3,617045,8325194,6.73,0.002,865.1,NA,rising,NA,NA,NA,NA,TRUE
cases,2015-M06,month,CH,country,all,agegroup_tick,all,1171.4,163499.3,617045,8325194,14.07,0.004,2036.5,NA,rising,NA,NA,NA,NA,TRUE
cases,2015-M07,month,CH,country,all,agegroup_tick,all,1374.5,163499.3,617045,8325194,16.51,0.004,3411,NA,rising,NA,NA,NA,NA,TRUE
cases,2015-M08,month,CH,country,all,agegroup_tick,all,763.4,163499.3,617045,8325194,9.17,0.002,4174.4,NA,stagnant,NA,NA,NA,NA,TRUE
cases,2015-M09,month,CH,country,all,agegroup_tick,all,560.3,163499.3,617045,8325194,6.73,0.002,4734.7,NA,falling,NA,NA,NA,NA,TRUE
cases,2015-M10,month,CH,country,all,agegroup_tick,all,509.5,163499.3,617045,8325194,6.12,0.002,5244.2,NA,falling,NA,NA,NA,NA,TRUE
cases,2015-M11,month,CH,country,all,agegroup_tick,all,356.3,163499.3,617045,8325194,4.28,0.001,5600.5,NA,falling,NA,NA,NA,NA,TRUE
cases,2015-M12,month,CH,country,all,agegroup_tick,all,152.4,163499.3,617045,8325194,1.83,0,5752.9,NA,falling,NA,NA,NA,NA,TRUE
cases,2016-M01,month,CH,country,all,agegroup_tick,all,0,161379.7,603303,8419550,0,0,0,NA,falling,NA,NA,NA,NA,TRUE
cases,2016-M02,month,CH,country,all,agegroup_tick,all,104.4,161379.7,603303,8419550,1.24,0,104.4,NA,falling,NA,NA,NA,NA,TRUE
cases,2016-M03,month,CH,country,all,agegroup_tick,all,208.8,161379.7,603303,8419550,2.48,0.001,313.2,NA,rising,NA,NA,NA,NA,TRUE
cases,2016-M04,month,CH,country,all,agegroup_tick,all,469.8,161379.7,603303,8419550,5.58,0.001,783,NA,rising,NA,NA,NA,NA,TRUE
cases,2016-M05,month,CH,country,all,agegroup_tick,all,991,161379.7,603303,8419550,11.77,0.003,1774,NA,rising,NA,NA,NA,NA,TRUE
cases,2016-M06,month,CH,country,all,agegroup_tick,all,2191.6,161379.7,603303,8419550,26.03,0.007,3965.6,NA,rising,NA,NA,NA,NA,TRUE
cases,2016-M07,month,CH,country,all,agegroup_tick,all,2191.6,161379.7,603303,8419550,26.03,0.007,6157.2,NA,rising,NA,NA,NA,NA,TRUE
cases,2016-M08,month,CH,country,all,agegroup_tick,all,1565.2,161379.7,603303,8419550,18.59,0.005,7722.4,NA,stagnant,NA,NA,NA,NA,TRUE
cases,2016-M09,month,CH,country,all,agegroup_tick,all,1565.2,161379.7,603303,8419550,18.59,0.005,9287.6,NA,falling,NA,NA,NA,NA,TRUE
cases,2016-M10,month,CH,country,all,agegroup_tick,all,678.6,161379.7,603303,8419550,8.06,0.002,9966.2,NA,falling,NA,NA,NA,NA,TRUE
cases,2016-M11,month,CH,country,all,agegroup_tick,all,469.8,161379.7,603303,8419550,5.58,0.001,10436,NA,falling,NA,NA,NA,NA,TRUE
cases,2016-M12,month,CH,country,all,agegroup_tick,all,52.2,161379.7,603303,8419550,0.62,0,10488.2,NA,falling,NA,NA,NA,NA,TRUE
cases,2017-M01,month,CH,country,all,agegroup_tick,all,51.8,162932.8,576232,8484130,0.61,0,51.8,NA,falling,NA,NA,NA,NA,TRUE
cases,2017-M02,month,CH,country,all,agegroup_tick,all,0,162932.8,576232,8484130,0,0,51.8,NA,falling,NA,NA,NA,NA,TRUE
cases,2017-M03,month,CH,country,all,agegroup_tick,all,51.8,162932.8,576232,8484130,0.61,0,103.6,NA,stagnant,NA,NA,NA,NA,TRUE
cases,2017-M04,month,CH,country,all,agegroup_tick,all,416.6,162932.8,576232,8484130,4.91,0.001,520.2,NA,stagnant,NA,NA,NA,NA,TRUE
cases,2017-M05,month,CH,country,all,agegroup_tick,all,572.7,162932.8,576232,8484130,6.75,0.002,1092.9,NA,rising,NA,NA,NA,NA,TRUE
cases,2017-M06,month,CH,country,all,agegroup_tick,all,2082.9,162932.8,576232,8484130,24.55,0.007,3175.8,NA,rising,NA,NA,NA,NA,TRUE
cases,2017-M07,month,CH,country,all,agegroup_tick,all,2187.2,162932.8,576232,8484130,25.78,0.007,5363,NA,rising,NA,NA,NA,NA,TRUE
cases,2017-M08,month,CH,country,all,agegroup_tick,all,1145.4,162932.8,576232,8484130,13.5,0.004,6508.4,NA,stagnant,NA,NA,NA,NA,TRUE
cases,2017-M09,month,CH,country,all,agegroup_tick,all,937.5,162932.8,576232,8484130,11.05,0.003,7445.9,NA,falling,NA,NA,NA,NA,TRUE
cases,2017-M10,month,CH,country,all,agegroup_tick,all,624.4,162932.8,576232,8484130,7.36,0.002,8070.3,NA,falling,NA,NA,NA,NA,TRUE
cases,2017-M11,month,CH,country,all,agegroup_tick,all,468.3,162932.8,576232,8484130,5.52,0.002,8538.6,NA,falling,NA,NA,NA,NA,TRUE
cases,2017-M12,month,CH,country,all,agegroup_tick,all,416.6,162932.8,576232,8484130,4.91,0.001,8955.2,NA,falling,NA,NA,NA,NA,TRUE
cases,2018-M01,month,CH,country,all,agegroup_tick,all,338.4,151604.3,567510,8544527,3.96,0.001,338.4,NA,falling,NA,NA,NA,NA,TRUE
cases,2018-M02,month,CH,country,all,agegroup_tick,all,169.2,151604.3,567510,8544527,1.98,0.001,507.6,NA,falling,NA,NA,NA,NA,TRUE
cases,2018-M03,month,CH,country,all,agegroup_tick,all,112.8,151604.3,567510,8544527,1.32,0,620.4,NA,falling,NA,NA,NA,NA,TRUE
cases,2018-M04,month,CH,country,all,agegroup_tick,all,563.9,151604.3,567510,8544527,6.6,0.002,1184.3,NA,stagnant,NA,NA,NA,NA,TRUE
cases,2018-M05,month,CH,country,all,agegroup_tick,all,2536,151604.3,567510,8544527,29.68,0.008,3720.3,NA,rising,NA,NA,NA,NA,TRUE
cases,2018-M06,month,CH,country,all,agegroup_tick,all,4227,151604.3,567510,8544527,49.47,0.013,7947.3,NA,rising,NA,NA,NA,NA,TRUE
cases,2018-M07,month,CH,country,all,agegroup_tick,all,2987.2,151604.3,567510,8544527,34.96,0.009,10934.5,NA,rising,NA,NA,NA,NA,TRUE
cases,2018-M08,month,CH,country,all,agegroup_tick,all,3043.6,151604.3,567510,8544527,35.62,0.01,13978.1,NA,stagnant,NA,NA,NA,NA,TRUE
cases,2018-M09,month,CH,country,all,agegroup_tick,all,1239.8,151604.3,567510,8544527,14.51,0.004,15217.9,NA,falling,NA,NA,NA,NA,TRUE
cases,2018-M10,month,CH,country,all,agegroup_tick,all,788.7,151604.3,567510,8544527,9.23,0.002,16006.6,NA,falling,NA,NA,NA,NA,TRUE
cases,2018-M11,month,CH,country,all,agegroup_tick,all,957.8,151604.3,567510,8544527,11.21,0.003,16964.4,NA,falling,NA,NA,NA,NA,TRUE
cases,2018-M12,month,CH,country,all,agegroup_tick,all,225.6,151604.3,567510,8544527,2.64,0.001,17190,NA,falling,NA,NA,NA,NA,TRUE
cases,2019-M01,month,CH,country,all,agegroup_tick,all,108.4,158480.7,585079,8606033,1.26,0,108.4,NA,falling,NA,NA,NA,NA,TRUE
cases,2019-M02,month,CH,country,all,agegroup_tick,all,108.4,158480.7,585079,8606033,1.26,0,216.8,NA,falling,NA,NA,NA,NA,TRUE
cases,2019-M03,month,CH,country,all,agegroup_tick,all,108.4,158480.7,585079,8606033,1.26,0,325.2,NA,falling,NA,NA,NA,NA,TRUE
cases,2019-M04,month,CH,country,all,agegroup_tick,all,216.9,158480.7,585079,8606033,2.52,0.001,542.1,NA,rising,NA,NA,NA,NA,TRUE
cases,2019-M05,month,CH,country,all,agegroup_tick,all,1248.7,158480.7,585079,8606033,14.51,0.004,1790.8,NA,rising,NA,NA,NA,NA,TRUE
cases,2019-M06,month,CH,country,all,agegroup_tick,all,1955.3,158480.7,585079,8606033,22.72,0.006,3746.1,NA,rising,NA,NA,NA,NA,TRUE
cases,2019-M07,month,CH,country,all,agegroup_tick,all,2280.6,158480.7,585079,8606033,26.5,0.007,6026.7,NA,rising,NA,NA,NA,NA,TRUE
cases,2019-M08,month,CH,country,all,agegroup_tick,all,1791.8,158480.7,585079,8606033,20.82,0.006,7818.5,NA,stagnant,NA,NA,NA,NA,TRUE
cases,2019-M09,month,CH,country,all,agegroup_tick,all,759.9,158480.7,585079,8606033,8.83,0.002,8578.4,NA,falling,NA,NA,NA,NA,TRUE
cases,2019-M10,month,CH,country,all,agegroup_tick,all,977.6,158480.7,585079,8606033,11.36,0.003,9556,NA,falling,NA,NA,NA,NA,TRUE
cases,2019-M11,month,CH,country,all,agegroup_tick,all,434.6,158480.7,585079,8606033,5.05,0.001,9990.6,NA,falling,NA,NA,NA,NA,TRUE
cases,2019-M12,month,CH,country,all,agegroup_tick,all,162.7,158480.7,585079,8606033,1.89,0.001,10153.3,NA,falling,NA,NA,NA,NA,TRUE
cases,2020-M01,month,CH,country,all,agegroup_tick,all,50.3,172081.2,566796,8670300,0.58,0,50.3,NA,falling,NA,NA,NA,NA,TRUE
cases,2020-M02,month,CH,country,all,agegroup_tick,all,50.3,172081.2,566796,8670300,0.58,0,100.6,NA,falling,NA,NA,NA,NA,TRUE
cases,2020-M03,month,CH,country,all,agegroup_tick,all,150.9,172081.2,566796,8670300,1.74,0.001,251.5,NA,stagnant,NA,NA,NA,NA,TRUE
cases,2020-M04,month,CH,country,all,agegroup_tick,all,906.9,172081.2,566796,8670300,10.46,0.003,1158.4,NA,rising,NA,NA,NA,NA,TRUE
cases,2020-M05,month,CH,country,all,agegroup_tick,all,1763.5,172081.2,566796,8670300,20.34,0.006,2921.9,NA,rising,NA,NA,NA,NA,TRUE
cases,2020-M06,month,CH,country,all,agegroup_tick,all,3073.6,172081.2,566796,8670300,35.45,0.011,5995.5,NA,rising,NA,NA,NA,NA,TRUE
cases,2020-M07,month,CH,country,all,agegroup_tick,all,3627.7,172081.2,566796,8670300,41.84,0.013,9623.2,NA,rising,NA,NA,NA,NA,TRUE
cases,2020-M08,month,CH,country,all,agegroup_tick,all,2217,172081.2,566796,8670300,25.57,0.008,11840.2,NA,stagnant,NA,NA,NA,NA,TRUE
cases,2020-M09,month,CH,country,all,agegroup_tick,all,806.3,172081.2,566796,8670300,9.3,0.003,12646.5,NA,falling,NA,NA,NA,NA,TRUE
cases,2020-M10,month,CH,country,all,agegroup_tick,all,756.1,172081.2,566796,8670300,8.72,0.003,13402.6,NA,falling,NA,NA,NA,NA,TRUE
cases,2020-M11,month,CH,country,all,agegroup_tick,all,654.6,172081.2,566796,8670300,7.55,0.002,14057.2,NA,falling,NA,NA,NA,NA,TRUE
cases,2020-M12,month,CH,country,all,agegroup_tick,all,302.6,172081.2,566796,8670300,3.49,0.001,14359.8,NA,falling,NA,NA,NA,NA,TRUE
cases,2021-M01,month,CH,country,all,agegroup_tick,all,89.1,195550.4,605347,8738791,1.02,0,89.1,NA,falling,NA,NA,NA,NA,TRUE
cases,2021-M02,month,CH,country,all,agegroup_tick,all,89.1,195550.4,605347,8738791,1.02,0,178.2,NA,falling,NA,NA,NA,NA,TRUE
cases,2021-M03,month,CH,country,all,agegroup_tick,all,44.6,195550.4,605347,8738791,0.51,0,222.8,NA,falling,NA,NA,NA,NA,TRUE
cases,2021-M04,month,CH,country,all,agegroup_tick,all,581.1,195550.4,605347,8738791,6.65,0.002,803.9,NA,rising,NA,NA,NA,NA,TRUE
cases,2021-M05,month,CH,country,all,agegroup_tick,all,402,195550.4,605347,8738791,4.6,0.001,1205.9,NA,rising,NA,NA,NA,NA,TRUE
cases,2021-M06,month,CH,country,all,agegroup_tick,all,1475.1,195550.4,605347,8738791,16.88,0.005,2681,NA,rising,NA,NA,NA,NA,TRUE
cases,2021-M07,month,CH,country,all,agegroup_tick,all,2591.9,195550.4,605347,8738791,29.66,0.01,5272.9,NA,rising,NA,NA,NA,NA,TRUE
cases,2021-M08,month,CH,country,all,agegroup_tick,all,1251.4,195550.4,605347,8738791,14.32,0.005,6524.3,NA,stagnant,NA,NA,NA,NA,TRUE
cases,2021-M09,month,CH,country,all,agegroup_tick,all,938.5,195550.4,605347,8738791,10.74,0.003,7462.8,NA,stagnant,NA,NA,NA,NA,TRUE
cases,2021-M10,month,CH,country,all,agegroup_tick,all,581.1,195550.4,605347,8738791,6.65,0.002,8043.9,NA,falling,NA,NA,NA,NA,TRUE
cases,2021-M11,month,CH,country,all,agegroup_tick,all,223.7,195550.4,605347,8738791,2.56,0.001,8267.6,NA,falling,NA,NA,NA,NA,TRUE
cases,2021-M12,month,CH,country,all,agegroup_tick,all,133.7,195550.4,605347,8738791,1.53,0,8401.3,NA,falling,NA,NA,NA,NA,TRUE
cases,2022-M01,month,CH,country,all,agegroup_tick,all,45,195294.5,574685,8815385,0.51,0,45,NA,falling,NA,NA,NA,NA,TRUE
cases,2022-M02,month,CH,country,all,agegroup_tick,all,0,195294.5,574685,8815385,0,0,45,NA,falling,NA,NA,NA,NA,TRUE
cases,2022-M03,month,CH,country,all,agegroup_tick,all,135.8,195294.5,574685,8815385,1.54,0.001,180.8,NA,stagnant,NA,NA,NA,NA,TRUE
cases,2022-M04,month,CH,country,all,agegroup_tick,all,270.6,195294.5,574685,8815385,3.07,0.001,451.4,NA,rising,NA,NA,NA,NA,TRUE
cases,2022-M05,month,CH,country,all,agegroup_tick,all,812.8,195294.5,574685,8815385,9.22,0.003,1264.2,NA,rising,NA,NA,NA,NA,TRUE
cases,2022-M06,month,CH,country,all,agegroup_tick,all,2573.2,195294.5,574685,8815385,29.19,0.01,3837.4,NA,rising,NA,NA,NA,NA,TRUE
cases,2022-M07,month,CH,country,all,agegroup_tick,all,1624.7,195294.5,574685,8815385,18.43,0.006,5462.1,NA,rising,NA,NA,NA,NA,TRUE
cases,2022-M08,month,CH,country,all,agegroup_tick,all,993.5,195294.5,574685,8815385,11.27,0.004,6455.6,NA,stagnant,NA,NA,NA,NA,TRUE
cases,2022-M09,month,CH,country,all,agegroup_tick,all,857.7,195294.5,574685,8815385,9.73,0.003,7313.3,NA,falling,NA,NA,NA,NA,TRUE
cases,2022-M10,month,CH,country,all,agegroup_tick,all,677,195294.5,574685,8815385,7.68,0.003,7990.3,NA,falling,NA,NA,NA,NA,TRUE
cases,2022-M11,month,CH,country,all,agegroup_tick,all,180.7,195294.5,574685,8815385,2.05,0.001,8171,NA,falling,NA,NA,NA,NA,TRUE
cases,2022-M12,month,CH,country,all,agegroup_tick,all,451.3,195294.5,574685,8815385,5.12,0.002,8622.3,NA,stagnant,NA,NA,NA,NA,TRUE
cases,2023-M01,month,CH,country,all,agegroup_tick,all,334.3,187749.1,542532,8962258,3.73,0.001,334.3,NA,stagnant,NA,NA,NA,NA,TRUE
cases,2023-M02,month,CH,country,all,agegroup_tick,all,143.4,187749.1,542532,8962258,1.6,0.001,477.7,NA,stagnant,NA,NA,NA,NA,TRUE
cases,2023-M03,month,CH,country,all,agegroup_tick,all,47.5,187749.1,542532,8962258,0.53,0,525.2,NA,falling,NA,NA,NA,NA,TRUE
cases,2023-M04,month,CH,country,all,agegroup_tick,all,143.4,187749.1,542532,8962258,1.6,0.001,668.6,NA,stagnant,NA,NA,NA,NA,TRUE
cases,2023-M05,month,CH,country,all,agegroup_tick,all,525.2,187749.1,542532,8962258,5.86,0.002,1193.8,NA,rising,NA,NA,NA,NA,TRUE
cases,2023-M06,month,CH,country,all,agegroup_tick,all,1909.9,187749.1,542532,8962258,21.31,0.007,3103.7,NA,rising,NA,NA,NA,NA,TRUE
cases,2023-M07,month,CH,country,all,agegroup_tick,all,1718.1,187749.1,542532,8962258,19.17,0.007,4821.8,NA,rising,NA,NA,NA,NA,TRUE
cases,2023-M08,month,CH,country,all,agegroup_tick,all,1336.3,187749.1,542532,8962258,14.91,0.005,6158.1,NA,stagnant,NA,NA,NA,NA,TRUE
cases,2023-M09,month,CH,country,all,agegroup_tick,all,1050.4,187749.1,542532,8962258,11.72,0.004,7208.5,NA,falling,NA,NA,NA,NA,TRUE
cases,2023-M10,month,CH,country,all,agegroup_tick,all,381.8,187749.1,542532,8962258,4.26,0.001,7590.3,NA,falling,NA,NA,NA,NA,TRUE
cases,2023-M11,month,CH,country,all,agegroup_tick,all,620.2,187749.1,542532,8962258,6.92,0.002,8210.5,NA,falling,NA,NA,NA,NA,TRUE
cases,2023-M12,month,CH,country,all,agegroup_tick,all,143.4,187749.1,542532,8962258,1.6,0.001,8353.9,NA,falling,NA,NA,NA,NA,TRUE
cases,2024-M01,month,CH,country,all,agegroup_tick,all,98.7,183444.2,533748,9051029,1.09,0,98.7,NA,falling,NA,NA,NA,NA,TRUE
cases,2024-M02,month,CH,country,all,agegroup_tick,all,148.4,183444.2,533748,9051029,1.64,0.001,247.1,NA,falling,NA,NA,NA,NA,TRUE
cases,2024-M03,month,CH,country,all,agegroup_tick,all,296,183444.2,533748,9051029,3.27,0.001,543.1,NA,rising,NA,NA,NA,NA,TRUE
cases,2024-M04,month,CH,country,all,agegroup_tick,all,641.7,183444.2,533748,9051029,7.09,0.002,1184.8,NA,rising,NA,NA,NA,NA,TRUE
cases,2024-M05,month,CH,country,all,agegroup_tick,all,1726.9,183444.2,533748,9051029,19.08,0.007,2911.7,NA,rising,NA,NA,NA,NA,TRUE
cases,2024-M06,month,CH,country,all,agegroup_tick,all,1924.2,183444.2,533748,9051029,21.26,0.007,4835.9,NA,rising,NA,NA,NA,NA,TRUE
cases,2024-M07,month,CH,country,all,agegroup_tick,all,2368.7,183444.2,533748,9051029,26.17,0.009,7204.6,NA,rising,NA,NA,NA,NA,TRUE
cases,2024-M08,month,CH,country,all,agegroup_tick,all,1973.1,183444.2,533748,9051029,21.8,0.007,9177.7,NA,stagnant,NA,NA,NA,NA,TRUE
cases,2024-M09,month,CH,country,all,agegroup_tick,all,690.6,183444.2,533748,9051029,7.63,0.003,9868.3,NA,stagnant,NA,NA,NA,NA,TRUE
cases,2024-M10,month,CH,country,all,agegroup_tick,all,444.4,183444.2,533748,9051029,4.91,0.002,10312.7,NA,falling,NA,NA,NA,NA,TRUE
cases,2024-M11,month,CH,country,all,agegroup_tick,all,394.6,183444.2,533748,9051029,4.36,0.001,10707.3,NA,falling,NA,NA,NA,NA,TRUE
cases,2024-M12,month,CH,country,all,agegroup_tick,all,394.6,183444.2,533748,9051029,4.36,0.001,11101.9,NA,falling,NA,NA,NA,NA,TRUE
cases,2025-M01,month,CH,country,all,agegroup_tick,all,140.3,193303.8,559769,9051029,1.55,0.001,140.3,NA,falling,NA,NA,NA,NA,TRUE
cases,2025-M02,month,CH,country,all,agegroup_tick,all,140.3,193303.8,559769,9051029,1.55,0.001,280.6,NA,falling,NA,NA,NA,NA,TRUE
cases,2025-M03,month,CH,country,all,agegroup_tick,all,187.4,193303.8,559769,9051029,2.07,0.001,468,NA,stagnant,NA,NA,NA,NA,TRUE
cases,2025-M04,month,CH,country,all,agegroup_tick,all,421.8,193303.8,559769,9051029,4.66,0.002,889.8,NA,rising,NA,NA,NA,NA,TRUE
