valueCategory,temporal,temporal_type,georegion,georegion_type,agegroup,agegroup_type,sex,value,pop,incValue,valueYearCumSum,valueMean3y,trend,prct,deltaValue,deltaIncValue,incValuePrctChange,valueMean5y,dataComplete
cases,2016-M08,month,CHFL,CHFL,all,agegroup_tick,all,33,8457360,0.39,173,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2016-M09,month,CHFL,CHFL,all,agegroup_tick,all,9,8457360,0.11,182,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2016-M10,month,CHFL,CHFL,all,agegroup_tick,all,13,8457360,0.15,195,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2016-M11,month,CHFL,CHFL,all,agegroup_tick,all,5,8457360,0.06,200,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2016-M12,month,CHFL,CHFL,all,agegroup_tick,all,1,8457360,0.01,201,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2017-M01,month,CHFL,CHFL,all,agegroup_tick,all,1,8522244,0.01,1,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2017-M02,month,CHFL,CHFL,all,agegroup_tick,all,0,8522244,0,1,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2017-M03,month,CHFL,CHFL,all,agegroup_tick,all,2,8522244,0.02,3,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2017-M04,month,CHFL,CHFL,all,agegroup_tick,all,19,8522244,0.22,22,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2017-M05,month,CHFL,CHFL,all,agegroup_tick,all,27,8522244,0.32,49,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2017-M06,month,CHFL,CHFL,all,agegroup_tick,all,49,8522244,0.57,98,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2017-M07,month,CHFL,CHFL,all,agegroup_tick,all,69,8522244,0.81,167,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2017-M08,month,CHFL,CHFL,all,agegroup_tick,all,31,8522244,0.36,198,NA,stagnant,NA,NA,NA,NA,NA,TRUE
